,location,bath,size_new,sqft
277,Gollarapalya Hosahalli,2.0,2,861.0
278,7th Phase JP Nagar,2.0,3,1420.0
280,Electronics City Phase 1,3.0,3,1490.0
281,Bisuvanahalli,2.0,3,1075.0
282,Old Madras Road,2.0,3,1425.0
283,Kalena Agrahara,2.0,2,1200.0
284,Kaggadasapura,2.0,3,1280.0
285,other,2.0,2,1084.0
286,Chandapura,2.0,2,1015.0
287,Kanakpura Road,2.0,2,1017.0
288,Haralur Road,2.0,2,1027.0
289,Electronic City Phase II,2.0,2,1069.0
290,Hebbal,2.0,2,1349.0
291,9th Phase JP Nagar,2.0,2,1005.0
292,Jakkur,2.0,2,1417.0
293,TC Palaya,3.0,3,1475.0
294,other,2.0,2,950.0
295,other,4.0,4,2000.0
297,Sarjapur  Road,3.0,4,1863.0
298,Singasandra,2.0,2,1010.0
299,Kalena Agrahara,2.0,3,1425.0
300,Vijayanagar,3.0,3,1450.0
301,Kothanur,3.0,3,1847.0
302,AECS Layout,2.0,2,1100.0
303,Kanakpura Road,1.0,1,525.0
304,Mallasandra,3.0,3,1665.0
305,Begur,4.0,4,1664.0
306,JP Nagar,3.0,3,1850.0
307,Panathur,2.0,2,1438.0
308,other,3.0,3,1560.0
309,Yelahanka,2.0,2,1350.0
310,Kanakpura Road,3.0,3,1550.0
311,Malleshpalya,2.0,2,1140.0
313,other,2.0,2,850.0
314,Whitefield,2.0,2,1280.0
315,Munnekollal,2.0,2,1170.0
316,other,2.0,2,1113.0
317,Hennur Road,2.0,2,1385.0
318,Electronic City,2.0,2,1128.0
319,Marathahalli,2.0,2,1200.0
320,other,4.0,4,1200.0
321,Rajaji Nagar,3.0,3,2390.0
322,Giri Nagar,4.0,4,2400.0
323,Haralur Road,3.0,3,1464.0
324,other,2.0,2,1200.0
325,Kaval Byrasandra,2.0,2,1200.0
326,Kaggalipura,2.0,3,1150.0
327,other,3.0,3,1645.0
328,Sarjapur  Road,2.0,2,1000.0
329,Haralur Road,4.0,4,2650.0
330,6th Phase JP Nagar,2.0,2,1192.0
331,Ulsoor,3.0,3,2135.0
332,Whitefield,2.0,2,1173.0
333,Uttarahalli,2.0,2,1020.0
334,Thigalarapalya,6.0,4,3122.0
335,Somasundara Palya,3.0,3,1600.0
336,other,2.0,2,1200.0
337,other,2.0,2,1230.0
338,Devarachikkanahalli,2.0,2,1250.0
339,Kalena Agrahara,2.0,2,1325.0
340,7th Phase JP Nagar,3.0,3,1850.0
341,Basaveshwara Nagar,2.0,2,1200.0
342,other,2.0,3,1350.0
343,Bommasandra,3.0,3,1260.0
344,other,3.0,3,1800.0
346,Ardendale,2.0,2,1100.0
347,Harlur,2.0,2,1508.0
348,other,3.0,3,1592.0
349,Akshaya Nagar,2.0,2,1388.0
350,Electronic City Phase II,1.0,1,630.0
351,other,3.0,3,2000.0
352,other,3.0,3,1762.0
353,other,2.0,2,950.0
354,Kodihalli,5.0,4,3252.0
355,Magadi Road,2.0,2,1116.0
356,Narayanapura,2.0,2,1308.0
357,other,3.0,3,1200.0
358,other,4.0,4,1500.0
359,Bannerghatta Road,1.0,1,500.0
360,Hennur,2.0,2,1075.0
361,Chandapura,1.0,1,530.0
362,Bellandur,2.0,2,1205.0
363,5th Phase JP Nagar,2.0,2,1075.0
364,KR Puram,2.0,2,930.0
365,Balagere,2.0,2,1380.0
366,Hebbal,5.0,4,2483.0
367,Kodigehaali,2.0,2,1166.0
368,Bannerghatta Road,2.0,2,1050.0
369,other,3.0,3,2023.71
370,Begur Road,2.0,2,1200.0
371,Lakshminarayana Pura,2.0,3,1600.0
372,Billekahalli,3.0,3,1935.0
373,8th Phase JP Nagar,1.0,1,451.0
374,Electronic City,3.0,3,1800.0
375,Jalahalli,3.0,3,1400.0
376,Hegde Nagar,3.0,3,1801.0
377,Mahadevpura,2.0,2,1451.0
378,Anekal,1.0,2,1200.0
379,Begur Road,2.0,2,1160.0
380,Kengeri,2.0,2,1000.0
381,Kanakpura Road,2.0,2,950.0
382,other,3.0,3,1629.0
383,Vijayanagar,2.0,3,1580.0
384,Vijayanagar,3.0,3,1826.0
385,7th Phase JP Nagar,2.0,2,1245.0
386,Raja Rajeshwari Nagar,2.0,2,1145.0
387,Sompura,2.0,2,825.0
388,Yeshwanthpur,3.0,3,1693.0
389,Electronics City Phase 1,2.0,2,1113.27
390,other,2.0,2,1460.0
391,Doddathoguru,2.0,2,1050.0
392,Dodda Nekkundi,2.0,2,1260.0
394,Hosur Road,2.0,2,1656.0
395,Chandapura,3.0,3,1208.0
396,Whitefield,3.0,3,1910.0
397,Whitefield,4.0,4,3252.0
398,Battarahalli,2.0,2,1200.0
399,other,4.0,4,1200.0
400,7th Phase JP Nagar,2.0,2,1175.0
401,other,2.0,2,1000.0
402,Bannerghatta Road,2.0,4,1200.0
403,Rajaji Nagar,3.0,3,2390.0
404,Rajaji Nagar,6.0,7,12000.0
407,other,2.0,2,1185.0
408,Kengeri,2.0,2,750.0
410,Kanakpura Road,3.0,3,1550.0
411,other,3.0,3,1760.0
412,Billekahalli,2.0,2,1125.0
413,Nagarbhavi,3.0,3,1350.0
414,Anandapura,2.0,2,1000.0
415,Bommasandra Industrial Area,2.0,2,1090.0
416,TC Palaya,2.0,2,1200.0
417,Budigere,4.0,3,1991.0
418,Bommasandra,2.0,2,1060.0
419,Ambalipura,2.0,2,1105.0
420,Hoodi,2.0,2,985.0
422,Balagere,3.0,3,1590.0
423,CV Raman Nagar,2.0,2,1120.0
424,other,2.0,2,1069.0
425,Marathahalli,3.0,3,1933.0
426,Hosur Road,2.0,2,1194.0
427,Brookefield,2.0,2,1150.0
428,Yelenahalli,2.0,2,1240.0
429,Raja Rajeshwari Nagar,2.0,2,1419.0
431,other,4.0,3,2150.0
432,other,3.0,3,1450.0
433,other,3.0,3,1630.0
434,Dasanapura,1.0,2,708.0
435,Kasavanhalli,4.0,3,1000.0
436,Whitefield,4.0,4,11890.0
437,Bellandur,2.0,2,1250.0
438,7th Phase JP Nagar,2.0,3,1400.0
439,Sarjapur  Road,2.0,3,1670.0
440,Ardendale,3.0,3,1750.0
441,Vittasandra,2.0,2,1404.0
442,Hoodi,2.0,3,1715.0
443,Electronic City,1.0,1,630.0
444,Harlur,3.0,3,1752.12
445,Hulimavu,3.0,3,1650.0
446,Raja Rajeshwari Nagar,2.0,2,1295.0
447,Giri Nagar,3.0,3,1800.0
448,Sarjapur  Road,2.0,2,1346.0
449,other,4.0,4,1200.0
450,Hormavu,2.0,2,1150.0
451,other,4.0,4,3309.0
452,Chandapura,2.0,3,1190.0
453,AECS Layout,3.0,3,1620.0
454,Marathahalli,2.0,2,950.0
455,other,9.0,11,5000.0
456,Harlur,3.0,3,2450.0
457,Electronic City Phase II,2.0,3,1220.0
458,other,2.0,2,850.0
459,Padmanabhanagar,2.0,2,1020.0
460,Chikkalasandra,2.0,2,1100.0
461,other,2.0,2,1150.0
462,Hebbal,2.0,3,1760.0
463,Ambalipura,3.0,3,1800.0
464,Akshaya Nagar,2.0,2,1070.0
465,2nd Stage Nagarbhavi,4.0,4,1500.0
466,Vidyaranyapura,2.0,2,1440.0
467,Amruthahalli,2.0,2,900.0
468,other,4.0,4,1200.0
469,Whitefield,2.0,2,1130.0
470,Koramangala,2.0,2,1320.0
471,Kodigehalli,2.0,2,1270.0
472,other,2.0,2,1200.0
473,other,4.0,4,4800.0
474,other,2.0,2,1200.0
475,Subramanyapura,2.0,2,929.0
480,other,3.0,3,1464.0
481,7th Phase JP Nagar,4.0,4,3600.0
482,other,4.0,4,2000.0
483,Chikkalasandra,2.0,2,1208.0
484,Hebbal Kempapura,2.0,2,1130.0
485,other,3.0,3,1753.0
486,Old Madras Road,7.0,5,4500.0
488,Hoodi,2.0,2,1196.0
489,5th Phase JP Nagar,3.0,2,1150.0
490,Electronic City,2.0,2,1128.0
491,other,2.0,2,1000.0
492,Yelahanka,2.0,2,1035.0
493,Kereguddadahalli,2.0,2,950.0
494,Bisuvanahalli,2.0,3,1075.0
495,Whitefield,2.0,2,1040.0
496,other,2.0,2,720.0
497,Lingadheeranahalli,3.0,3,1511.0
498,other,3.0,3,1300.0
499,Hoodi,3.0,3,1545.0
500,Shampura,2.0,1,375.0
501,Vidyaranyapura,2.0,2,1062.0
502,other,2.0,2,1115.0
503,JP Nagar,2.0,2,1000.0
504,Kambipura,2.0,2,883.0
505,Sarjapur  Road,2.0,2,1195.0
506,other,3.0,4,1200.0
507,other,1.0,1,700.0
508,Vittasandra,2.0,2,1246.0
510,Banashankari Stage III,4.0,4,8500.0
511,other,4.0,4,1600.0
512,Haralur Road,5.0,4,2805.0
513,Begur Road,3.0,3,1584.0
514,Sector 7 HSR Layout,5.0,4,3000.0
515,Hosur Road,2.0,3,1175.0
516,other,3.0,3,1595.0
517,other,2.0,2,1353.0
518,Electronic City,3.0,3,1599.0
519,Whitefield,2.0,2,1150.0
520,Jakkur,6.0,4,5230.0
521,KR Puram,2.0,2,1155.0
522,other,2.0,1,1200.0
523,Electronic City Phase II,2.0,2,1000.0
524,Thanisandra,4.0,4,3000.0
525,Rajiv Nagar,3.0,3,1867.0
526,Ramagondanahalli,2.0,2,1251.0
527,other,2.0,2,1028.0
528,Arekere,2.0,2,1222.0
529,Bannerghatta Road,2.0,3,1170.0
530,Hebbal,4.0,3,2400.0
531,other,2.0,3,1385.0
532,HSR Layout,2.0,2,1372.0
533,Magadi Road,2.0,3,1282.0
534,Mico Layout,9.0,9,5000.0
535,other,3.0,5,3000.0
536,Kanakpura Road,2.0,2,1135.0
537,Whitefield,3.0,3,1768.0
538,other,2.0,3,1325.0
539,Electronic City,3.0,3,1599.0
540,Whitefield,3.0,3,1500.0
541,other,3.0,3,2610.0
542,Uttarahalli,2.0,2,1286.0
543,Kammanahalli,5.0,5,2845.0
544,other,2.0,3,1600.0
545,Hennur Road,2.0,2,1317.5
546,Hebbal,5.0,3,3450.0
547,Munnekollal,2.0,2,1102.0
548,Yelahanka,2.0,2,1350.0
549,Banashankari,2.0,3,1200.0
551,other,1.0,2,1800.0
552,Chikkabanavar,2.0,2,950.0
553,Kanakpura Road,1.0,1,525.0
554,Attibele,2.0,2,656.0
555,Marathahalli,4.0,4,1780.0
556,other,2.0,2,1056.0
557,Bannerghatta Road,1.0,1,595.0
558,other,2.0,2,1080.0
559,7th Phase JP Nagar,3.0,3,2225.0
560,Bommasandra,2.0,2,1126.0
561,Electronics City Phase 1,3.0,3,1490.0
562,HRBR Layout,4.0,4,2000.0
563,Sarjapur  Road,3.0,3,1550.0
564,other,2.0,2,1160.0
565,Whitefield,4.0,4,4144.0
566,Sarjapur  Road,3.0,3,2100.0
567,Vittasandra,2.0,2,1404.0
568,Sarjapur  Road,4.0,4,2230.0
569,other,3.0,3,1544.0
570,Banashankari Stage III,2.0,3,1305.0
571,Marathahalli,2.0,2,1230.0
572,other,2.0,2,1200.0
573,Harlur,3.0,3,1460.0
574,Gottigere,2.0,2,967.0
575,other,1.0,1,540.0
576,Hormavu,1.0,1,715.0
577,Whitefield,3.0,3,2500.0
578,other,3.0,3,1578.0
579,Mysore Road,2.0,2,1020.0
580,Jigani,2.0,2,1020.0
581,Koramangala,2.0,2,1253.0
582,other,2.0,2,1180.0
583,Nehru Nagar,2.0,2,961.0
584,Kanakapura,3.0,3,1419.0
585,Harlur,3.0,3,1709.0
586,other,2.0,2,1600.0
587,other,1.0,1,416.0
588,Sanjay nagar,2.0,2,1100.0
589,HSR Layout,2.0,3,1430.0
590,other,2.0,2,1260.0
591,other,3.0,3,1630.0
592,Sarjapur  Road,3.0,3,1249.0
593,Kalena Agrahara,2.0,3,1450.0
594,Konanakunte,3.0,3,2791.0
595,other,1.0,1,600.0
596,other,1.0,1,834.0
597,other,4.0,3,1125.0
598,Arekere,3.0,3,2060.0
599,Malleshwaram,7.0,7,12000.0
600,Gottigere,2.0,2,891.0
601,Raja Rajeshwari Nagar,2.0,2,1133.0
602,Bisuvanahalli,2.0,3,1075.0
603,other,5.0,4,3000.0
604,Brookefield,5.0,4,2440.0
605,Vidyaranyapura,2.0,2,1200.0
606,Thanisandra,2.0,2,1075.0
607,Kaggadasapura,2.0,2,1140.0
609,other,5.0,6,2160.0
610,Raja Rajeshwari Nagar,2.0,2,1090.0
611,R.T. Nagar,4.0,4,1500.0
612,Whitefield,4.0,4,4104.0
613,Whitefield,3.0,3,1790.0
614,Hebbal,3.0,3,1920.0
615,HRBR Layout,2.0,2,1374.0
616,Bannerghatta Road,3.0,3,1445.0
617,Kanakapura,1.0,1,711.0
618,Tumkur Road,3.0,3,1500.0
619,Whitefield,3.0,3,1720.0
620,Vasanthapura,3.0,3,1400.0
621,Kundalahalli,2.0,2,1030.0
622,Mysore Road,2.0,2,1200.0
623,other,3.0,3,1375.0
624,Hegde Nagar,1.0,2,1050.0
625,Jalahalli,3.0,3,2250.0
626,Bellandur,2.0,2,1000.0
627,other,1.0,1,469.0
628,Marathahalli,4.0,4,3800.0
629,Kambipura,2.0,2,883.0
630,GM Palaya,2.0,3,1820.0
631,Singasandra,2.0,3,1440.0
632,other,4.0,6,3600.0
633,Malleshwaram,5.0,4,2500.0
634,Mahadevpura,2.0,2,1225.0
635,other,3.0,3,4000.0
636,Chikkalasandra,2.0,2,875.0
637,Jalahalli East,1.0,1,750.0
638,6th Phase JP Nagar,2.0,2,1180.0
639,Haralur Road,2.0,2,1194.0
640,Hennur Road,2.0,3,1500.0
641,other,2.0,2,1160.0
643,Hosakerehalli,3.0,3,2378.0
644,Sarjapur,2.0,2,1128.0
645,Hebbal,3.0,3,1500.0
646,other,2.0,3,1220.0
647,Sarjapur  Road,2.0,2,1210.0
648,Kanakpura Road,2.0,3,1100.0
649,Bommasandra,3.0,3,1200.0
650,Haralur Road,5.0,4,3385.0
651,other,3.0,3,1641.0
652,Horamavu Agara,2.0,2,1200.0
653,Raja Rajeshwari Nagar,2.0,2,1260.0
654,Mahadevpura,3.0,3,1720.0
655,Yelahanka,2.0,2,1132.5
656,Yelahanka,2.0,2,1210.0
657,Indira Nagar,4.0,4,2200.0
658,Bisuvanahalli,2.0,3,1075.0
659,Thanisandra,3.0,3,1702.0
660,other,2.0,2,1630.0
661,Raja Rajeshwari Nagar,2.0,2,1141.0
662,other,3.0,3,2072.0
663,other,2.0,3,1200.0
664,other,3.0,3,1350.0
665,other,4.0,4,4046.0
666,other,2.0,3,1180.0
667,Yelahanka,3.0,3,35000.0
668,other,2.0,2,1355.0
669,other,1.0,1,600.0
671,Bannerghatta Road,2.0,3,1640.0
673,Kodichikkanahalli,2.0,3,1190.0
674,OMBR Layout,4.0,4,2400.0
675,Marathahalli,2.0,2,1019.0
676,other,3.0,3,1875.0
677,Akshaya Nagar,3.0,3,1250.0
678,Brookefield,3.0,3,1200.0
679,Whitefield,2.0,2,1140.0
680,Lingadheeranahalli,3.0,3,1683.0
681,Kaggadasapura,3.0,3,1515.0
682,Hoodi,4.0,4,2118.0
683,Bannerghatta Road,3.0,4,1380.0
684,Varthur Road,2.0,2,1083.0
685,other,2.0,2,600.0
686,other,3.0,3,2300.0
687,other,2.0,2,1240.0
688,other,3.0,3,1750.0
689,other,2.0,2,1230.0
690,Anjanapura,3.0,3,1500.0
691,Abbigere,2.0,2,985.0
692,Tindlu,2.0,3,1500.0
693,Electronic City,2.0,2,1125.0
694,other,2.0,2,950.0
695,Kothanur,3.0,3,1580.0
696,other,2.0,3,1092.0
697,Electronic City Phase II,2.0,2,1090.0
698,Hennur Road,3.0,3,2264.0
699,Dommasandra,2.0,3,1033.0
700,Kammasandra,2.0,2,810.0
701,other,2.0,2,1045.0
702,Hebbal,2.0,2,1337.0
703,Chandapura,2.0,2,1200.0
704,Koramangala,3.0,3,1580.0
705,Begur Road,2.0,3,1500.0
706,Whitefield,4.0,3,1640.0
707,other,3.0,3,1570.0
708,Gubbalala,2.0,3,1470.0
709,Kengeri,2.0,2,1160.0
710,7th Phase JP Nagar,2.0,2,1050.0
711,other,3.0,3,1855.0
712,Bannerghatta Road,2.0,3,1460.0
713,Hulimavu,3.0,3,1823.0
714,Electronic City,2.0,2,1094.0
715,Budigere,2.0,2,1153.0
716,other,3.0,3,1325.0
717,Parappana Agrahara,3.0,4,1200.0
718,Jakkur,2.0,3,1590.0
720,Raja Rajeshwari Nagar,4.0,4,1200.0
721,other,2.0,2,1202.0
722,Haralur Road,2.0,2,1202.0
723,other,2.0,2,1200.0
724,Panathur,3.0,3,1688.0
725,Kaval Byrasandra,2.0,2,1020.0
726,Sarjapur,2.0,2,1185.0
727,Ramagondanahalli,2.0,2,1235.0
728,Hosakerehalli,5.0,4,3205.0
729,Banashankari,2.0,2,1077.0
730,Kengeri Satellite Town,2.0,3,1415.0
731,EPIP Zone,3.0,3,2330.0
732,Whitefield,2.0,2,805.0
733,other,1.0,1,425.0
734,Whitefield,2.0,2,1155.0
735,Cunningham Road,4.0,4,5270.0
736,Anekal,2.0,2,656.0
737,other,2.0,2,1100.0
738,Mahadevpura,2.0,2,1150.0
739,other,1.0,1,600.0
740,other,2.0,2,1468.0
741,other,5.0,4,4300.0
742,Whitefield,4.0,3,2280.0
743,Hegde Nagar,2.0,2,1341.0
744,Jakkur,2.0,2,1279.0
745,Electronic City Phase II,4.0,4,2225.0
746,Thanisandra,2.0,2,1185.0
747,other,3.0,3,1750.0
748,Kudlu,2.0,2,1152.0
750,Hulimavu,2.0,2,1300.0
751,Varthur Road,4.0,4,2760.0
752,5th Phase JP Nagar,2.0,2,1070.0
753,Uttarahalli,2.0,2,1101.0
754,other,2.0,2,775.0
755,Yeshwanthpur,1.0,1,667.0
756,Electronic City,2.0,2,1070.0
